ukuran_sepatu,tinggi_badan
41,164
43,166
38,161
44,173
45,169
43,182
40,157
38,155
42,172
43,165
42,163
42,164
41,162
46,176
37,154
44,172
45,186
40,165
41,167
44,178
40,164
42,168
44,178
43,186
39,162
43,174
42,172
41,166
42,167
43,173
44,177
